Dataset Size,Algorithm,Compression Ratio,Time Taken (s),Decompression Time (s)
128,zlib,0.6328125,0.001004934310913086,0.0009999275207519531
128,bz2,0.9453125,0.0,0.0005137920379638672
128,lzma,1.0,0.0055446624755859375,0.0
128,rle,0.5625,0.0,0.0
128,improved_rle,0.4765625,0.0,0.0
128,huffman,3.3671875,0.0009987354278564453,0.0
256,zlib,0.6796875,0.0009963512420654297,0.0
256,bz2,0.97265625,0.0,0.0
256,lzma,0.8125,0.005516529083251953,0.0015079975128173828
256,rle,0.6640625,0.0,0.0
256,improved_rle,0.5703125,0.0,0.0
256,huffman,3.51953125,0.001012563705444336,0.0
512,zlib,0.525390625,0.0,0.0
512,bz2,0.75,0.001004934310913086,0.0
512,lzma,0.5703125,0.0049974918365478516,0.0010256767272949219
512,rle,0.5546875,0.0,0.0
512,improved_rle,0.46875,0.0,0.0
512,huffman,2.7265625,0.0020041465759277344,0.0005090236663818359
1024,zlib,0.5048828125,0.0,0.0
1024,bz2,0.6875,0.0,0.0
1024,lzma,0.4765625,0.00651860237121582,0.0
1024,rle,0.54296875,0.0,0.001009225845336914
1024,improved_rle,0.474609375,0.0,0.0010006427764892578
1024,huffman,2.244140625,0.0009987354278564453,0.0020041465759277344
2048,zlib,0.5234375,0.0009989738464355469,0.0
2048,bz2,0.6455078125,0.0,0.0
2048,lzma,0.455078125,0.00711822509765625,0.0
2048,rle,0.60546875,0.0,0.000997781753540039
2048,improved_rle,0.513671875,0.0,0.0009989738464355469
2048,huffman,1.61181640625,0.0019986629486083984,0.003026723861694336
4096,zlib,0.506103515625,0.0,0.0
4096,bz2,0.562255859375,0.00099945068359375,0.0
4096,lzma,0.4140625,0.007504463195800781,0.0
4096,rle,0.5888671875,0.0009534358978271484,0.0010113716125488281
4096,improved_rle,0.50146484375,0.0015113353729248047,0.0010056495666503906
4096,huffman,1.250244140625,0.0019969940185546875,0.006533145904541016
8192,zlib,0.50244140625,0.0015101432800292969,0.0
8192,bz2,0.516357421875,0.001010894775390625,0.0
8192,lzma,0.39404296875,0.009021282196044922,0.0010182857513427734
8192,rle,0.590576171875,0.0019958019256591797,0.0009963512420654297
8192,improved_rle,0.5048828125,0.0029997825622558594,0.001516580581665039
8192,huffman,1.0628662109375,0.003998279571533203,0.012042760848999023
16384,zlib,0.504150390625,0.0010044574737548828,0.0
16384,bz2,0.48284912109375,0.0025124549865722656,0.0010051727294921875
16384,lzma,0.388427734375,0.01059722900390625,0.0010068416595458984
16384,rle,0.5953369140625,0.0029921531677246094,0.002034902572631836
16384,improved_rle,0.506103515625,0.0034875869750976562,0.004025936126708984
16384,huffman,0.96923828125,0.009534835815429688,0.028061866760253906
32768,zlib,0.50701904296875,0.0030059814453125,0.0
32768,bz2,0.464813232421875,0.003507375717163086,0.0010004043579101562
32768,lzma,0.38525390625,0.018088817596435547,0.004018068313598633
32768,rle,0.60003662109375,0.00726771354675293,0.005523204803466797
32768,improved_rle,0.51104736328125,0.011527061462402344,0.009027719497680664
32768,huffman,0.9224853515625,0.018367290496826172,0.04312872886657715
65536,zlib,0.5016937255859375,0.006501674652099609,0.0010118484497070312
65536,bz2,0.4504547119140625,0.004521608352661133,0.0030024051666259766
65536,lzma,0.38250732421875,0.02364206314086914,0.003517627716064453
65536,rle,0.59912109375,0.010034322738647461,0.009514808654785156
65536,improved_rle,0.509033203125,0.011518716812133789,0.012551069259643555
65536,huffman,0.89874267578125,0.029519081115722656,0.09552645683288574
